model,node_count,agent_count,coldest_expert_fraction,cold_horizon_rounds,expected_cold_expert_selections_per_token,probability_one_layer_waits,expected_added_layer_round_waits_per_token,expert_weight_gb_per_token,total_memory_gb_per_token,memory_traffic_reduction_fraction,memory_bound_throughput_gain_fraction,pareto_efficient
DeepSeek V4.1 Flash,7,828,0.05,4,2.7431035640584307e-07,2.7431031879299184e-07,1.645861912757951e-05,0.38705213667145927,3.707144659130273,1.2835288387691435e-12,1.283639861071606e-12,True
DeepSeek V4.1 Flash,7,828,0.1,2,5.486207128116864e-07,5.486205623128626e-07,1.0972411246257252e-05,0.38705213667304544,3.7071446591318593,8.556488850786081e-13,8.555378627761456e-13,True
DeepSeek V4.1 Flash,7,828,0.1,3,5.486207128116864e-07,5.486205623128626e-07,2.1944822492514504e-05,0.38705213666987326,3.7071446591286867,1.7114087924596788e-12,1.7112977701572163e-12,True
DeepSeek V4.1 Flash,7,828,0.1,4,5.486207128116864e-07,5.486205623128626e-07,3.2917233738771756e-05,0.3870521366667017,3.7071446591255155,2.566835632933362e-12,2.566835632933362e-12,True
DeepSeek V4.1 Flash,7,828,0.2,2,0.0840298380681653,0.08059617754808246,1.6119235509616492,0.3746357698984633,3.694728292357277,0.0033493073293372477,0.003360562887246177,True
DeepSeek V4.1 Flash,7,828,0.2,3,0.0840298380681653,0.08059617754808246,3.2238471019232984,0.3696470755300415,3.689739597988855,0.004695004578061712,0.004717151626543625,True
DeepSeek V4.1 Flash,7,828,0.2,4,0.0840298380681653,0.08059617754808246,4.835770652884948,0.3669916721169635,3.687084194575777,0.005411298021462896,0.005440739484269486,True
DeepSeek V4.1 Flash,7,828,0.3,2,0.35640265752298195,0.29980937355765713,5.996187471153142,0.3526298265815467,3.6727223490403604,0.009285397053456879,0.009372423729135049,True
DeepSeek V4.1 Flash,7,828,0.3,3,0.35640265752298195,0.29980937355765713,11.992374942306284,0.3402425868248712,3.6603351092836847,0.012626847386707718,0.012788323597100026,True
DeepSeek V4.1 Flash,7,828,0.3,4,0.35640265752298195,0.29980937355765713,17.988562413459427,0.333887493181371,3.653980015640185,0.014341130002531677,0.014549790438723065,False
DeepSeek V4.1 Flash,7,828,0.5,2,1.3425766071291636,0.7388281363979461,14.776562727958922,0.30765545098965846,3.627747973448472,0.021417207308301878,0.021885943088567394,True
DeepSeek V4.1 Flash,7,828,0.5,3,1.3425766071291636,0.7388281363979461,29.553125455917844,0.280274702474883,3.600367224933697,0.028803147440771393,0.029657373131792397,False
DeepSeek V4.1 Flash,7,828,0.5,4,1.3425766071291636,0.7388281363979461,44.32968818387677,0.26642285412056166,3.586515376579375,0.03253967504569988,0.033634118326492546,False
DeepSeek V4.1 Flash,7,828,0.7,2,2.7869757442765017,0.9383927514609262,18.767855029218524,0.2626749559901313,3.582767478448945,0.0335506682696074,0.03471539290066672,True
DeepSeek V4.1 Flash,7,828,0.7,3,2.7869757442765017,0.9383927514609262,37.53571005843705,0.2203006980534558,3.5403932205122697,0.044981098380355355,0.04709969436633199,False
DeepSeek V4.1 Flash,7,828,0.7,4,2.7869757442765017,0.9383927514609262,56.30356508765557,0.19895209498818509,3.5190446174469985,0.050739870974422896,0.053452019549696805,False
DeepSeek V4.1 Flash,7,828,1.0,2,6.000000000000005,0.9975212478233336,19.950424956466673,0.19549624526184733,3.515588767720661,0.051672084320298683,0.05448757066616916,True
DeepSeek V4.1 Flash,7,828,1.0,3,6.000000000000005,0.9975212478233336,39.900849912933346,0.13080210484242216,3.4508946273012358,0.06912328905276255,0.0742561160246713,True
DeepSeek V4.1 Flash,7,828,1.0,4,6.000000000000005,0.9975212478233336,59.851274869400015,0.09996115357589389,3.4200536760347076,0.07744261675704589,0.0839434144300284,True
Qwen3.8 Flash Next,7,2915,0.05,2,4.824547587097091e-07,4.824546423476406e-07,1.1578911416343374e-05,0.07575480913836978,1.1155464568944577,5.545230941095269e-12,5.545341963397732e-12,True
Qwen3.8 Flash Next,7,2915,0.05,3,4.824547587097091e-07,4.824546423476406e-07,2.3157822832686747e-05,0.07575480913218416,1.1155464568882723,1.1090128815283151e-11,1.1090017792980689e-11,True
Qwen3.8 Flash Next,7,2915,0.05,4,4.824547587097091e-07,4.824546423476406e-07,3.473673424903012e-05,0.0757548091259988,1.115546456882087,1.6634693622563645e-11,1.6634693622563645e-11,True
Qwen3.8 Flash Next,7,2915,0.1,2,9.463535651613529e-07,9.463531173148354e-07,2.271247481555605e-05,0.0757548091324219,1.11554645688851,1.0877077016857584e-11,1.0877077016857584e-11,True
Qwen3.8 Flash Next,7,2915,0.1,3,9.463535651613529e-07,9.463531173148354e-07,4.54249496311121e-05,0.07575480912028855,1.1155464568763767,2.1753598922202855e-11,2.1753709944505317e-11,True
Qwen3.8 Flash Next,7,2915,0.1,4,9.463535651613529e-07,9.463531173148354e-07,6.813742444666815e-05,0.07575480910815566,1.1155464568642437,3.262978776064074e-11,3.26298987829432e-11,True
Qwen3.8 Flash Next,7,2915,0.2,2,0.11491250332720375,0.10855586110923254,2.605340666621581,0.07283291962081007,1.1126245673768982,0.00261924503965838,0.0026261235006108663,True
Qwen3.8 Flash Next,7,2915,0.2,3,0.11491250332720375,0.10855586110923254,5.210681333243162,0.07183280165880603,1.1116244494148941,0.0035157724373454657,0.003528176703754715,True
Qwen3.8 Flash Next,7,2915,0.2,4,0.11491250332720375,0.10855586110923254,7.816021999864743,0.07132733916316984,1.111118986919258,0.003968879963714755,0.003984694738825123,True
Qwen3.8 Flash Next,7,2915,0.3,2,0.557614626741657,0.4274267629410554,10.25824231058533,0.06860420621296481,1.108395853969053,0.006409955306977966,0.006451307902303416,True
Qwen3.8 Flash Next,7,2915,0.3,3,0.557614626741657,0.4274267629410554,20.51648462117066,0.06619535795054504,1.105987005706633,0.008569299050592671,0.008643366644170536,True
Qwen3.8 Flash Next,7,2915,0.3,4,0.557614626741657,0.4274267629410554,30.774726931755993,0.06521347943181942,1.1050051271879076,0.009449476216368158,0.00953962063466851,False
Qwen3.8 Flash Next,7,2915,0.5,2,2.1868426416890636,0.8877293316746416,21.3055039601914,0.06036487104726527,1.1001565188033533,0.013795873764010591,0.013988862342996677,True
Qwen3.8 Flash Next,7,2915,0.5,3,2.1868426416890636,0.8877293316746416,42.6110079203828,0.05893215329352823,1.0987238010496163,0.015080192982519391,0.015311087131230527,False
Qwen3.8 Flash Next,7,2915,0.5,4,2.1868426416890636,0.8877293316746416,63.91651188057419,0.0568662333662438,1.0966578811223318,0.016932128340751196,0.01722376331165476,False
Qwen3.8 Flash Next,7,2915,0.7,2,4.5731068558293995,0.9896741710312681,23.752180104750433,0.05753088931822847,1.0973225370743165,0.01633631635293742,0.016607623748361222,True
Qwen3.8 Flash Next,7,2915,0.7,3,4.5731068558293995,0.9896741710312681,47.50436020950087,0.05346778023897998,1.093259427995068,0.01997857531410796,0.02038585566689144,True
Qwen3.8 Flash Next,7,2915,0.7,4,4.5731068558293995,0.9896741710312681,71.2565403142513,0.05137665304288862,1.0911683007989768,0.02185310701393628,0.022341334589556006,False
Qwen3.8 Flash Next,7,2915,1.0,2,9.999999999999993,0.9999546000702375,23.9989104016857,0.05586803531018991,1.095659683066278,0.01782693469317076,0.018150502516174782,True
Qwen3.8 Flash Next,7,2915,1.0,3,9.999999999999993,0.9999546000702375,47.9978208033714,0.04968896509341461,1.0894806128495027,0.023365987037026303,0.023925018714161972,True
Qwen3.8 Flash Next,7,2915,1.0,4,9.999999999999993,0.9999546000702375,71.9967312050571,0.04625165559817645,1.0860433033542645,0.026447265700030864,0.027165724842884487,True
